id,category,sub_category,question,answer
147,সাধারণ জ্ঞান,রাজধানী,    নরওয়ে রাজধানী কোথায়?,অসলো
148,সাধারণ জ্ঞান,রাজধানী,  ওমান  রাজধানী কোথায়?,মাসকট 
149,সাধারণ জ্ঞান,রাজধানী,  পাকিস্তান   রাজধানী কোথায়?,ইসলামাবাদ
150,সাধারণ জ্ঞান,রাজধানী,     পালাউকরাজধানী কোথায়?, মেলিকেও
151,সাধারণ জ্ঞান,রাজধানী,    পানামা রাজধানী কোথায়?, পানামা সিটি 
152,সাধারণ জ্ঞান,রাজধানী,    পাপুয়া নিউ গিনি রাজধানী কোথায়?,পোর্ট মোরসবি
153,সাধারণ জ্ঞান,রাজধানী,   প্যারাগুয়ে  রাজধানী কোথায়?, অ্যাসুনসিওন
154,সাধারণ জ্ঞান,রাজধানী,    পেরু রাজধানী কোথায়?, লিমা
155,সাধারণ জ্ঞান,রাজধানী,    ফিলিপাইন রাজধানী কোথায়?, ম্যানিলা
156,সাধারণ জ্ঞান,রাজধানী,    পোল্যান্ড রাজধানী কোথায়?, ওয়ার্সা
157,সাধারণ জ্ঞান,রাজধানী,    পর্তুগাল রাজধানী কোথায়?,লিসবন
158,সাধারণ জ্ঞান,রাজধানী,    কাতার রাজধানী কোথায়?,দোহা
159,সাধারণ জ্ঞান,রাজধানী, রোমানিয়া রাজধানী কোথায়?, বুখারেস্ট
160,সাধারণ জ্ঞান,রাজধানী,   রাশিয়া  রাজধানী কোথায়?, মস্কো
161,সাধারণ জ্ঞান,রাজধানী,    রুয়ান্ডা রাজধানী কোথায়?,কিগালি
162,সাধারণ জ্ঞান,রাজধানী,   সেন্ট কিটস এবং নেভিস  রাজধানী কোথায়?, বাসেস্টেরে
163,সাধারণ জ্ঞান,রাজধানী,     সেন্ট লুসিয়া রাজধানী কোথায়?, কাস্ট্রিজ
164,সাধারণ জ্ঞান,রাজধানী,    সেন্ট ভিনসেন্ট এবং গ্রেনাডাইনস রাজধানী কোথায়?, কিংস্টাউন
165,সাধারণ জ্ঞান,রাজধানী,   সামোয়া  রাজধানী কোথায়?, অপিয়া
166,সাধারণ জ্ঞান,রাজধানী,  সান মেরিনো   রাজধানী কোথায়?, সান মেরিনো
167,সাধারণ জ্ঞান,রাজধানী,   সাও টোম এবং প্রিন্সিপাল রাজধানী কোথায়?, সাও টোম 
168,সাধারণ জ্ঞান,রাজধানী,  সৌদি আরব   রাজধানী কোথায়?, রিয়াদ
169,সাধারণ জ্ঞান,রাজধানী,   সেনেগাল রাজধানী কোথায়?, ডাকার 
170,সাধারণ জ্ঞান,রাজধানী,  সার্বিয়া  রাজধানী কোথায়?, বেলগ্রেড 
171,সাধারণ জ্ঞান,রাজধানী,   সেশেলস  রাজধানী কোথায়?, ভিক্টোরিয়া
172,সাধারণ জ্ঞান,রাজধানী,   সিয়েরা লিওন  রাজধানী কোথায়?, ফ্রিটাউন
173,সাধারণ জ্ঞান,রাজধানী,   সিঙ্গাপুর   রাজধানী কোথায়?,সিঙ্গাপুর
174,সাধারণ জ্ঞান,রাজধানী, স্লোভাকিয়া রাজধানী কোথায়?, ব্রাটিস্লাভা
175,সাধারণ জ্ঞান,রাজধানী,  স্লোভেনিয়া   রাজধানী কোথায়?, লুজলজানা
176,সাধারণ জ্ঞান,রাজধানী,    সলোমন দ্বীপপুঞ্জ রাজধানী কোথায়?, হনিয়ারা
177,সাধারণ জ্ঞান,রাজধানী,  সোমালিয়া  রাজধানী কোথায়?, মোগাদিশু 
178,সাধারণ জ্ঞান,রাজধানী,   দক্ষিণ আফ্রিকা  রাজধানী কোথায়?,কেপটাউন
179,সাধারণ জ্ঞান,রাজধানী,     দক্ষিণ সুদান রাজধানী কোথায়?, যুবা
180,সাধারণ জ্ঞান,রাজধানী,    স্পেন রাজধানী কোথায়?, মাদ্রিদ 
181,সাধারণ জ্ঞান,রাজধানী,     শ্রীলঙ্কা রাজধানী কোথায়?, কলম্বো
182,সাধারণ জ্ঞান,রাজধানী,   সুদান  রাজধানী কোথায়?,খার্তুম
183,সাধারণ জ্ঞান,রাজধানী,    সুরিনাম রাজধানী কোথায়?,পারমারিবো 
184,সাধারণ জ্ঞান,রাজধানী,  সোয়াজিল্যান্ড   রাজধানী কোথায়?, এমবাবেন
185,সাধারণ জ্ঞান,রাজধানী,    সুইডেনরাজধানী কোথায়?, স্টকহোম 
186,সাধারণ জ্ঞান,রাজধানী,  সুইজারল্যান্ড   রাজধানী কোথায়?,বার্ন
187,সাধারণ জ্ঞান,রাজধানী,    সিরিয়া  রাজধানী কোথায়?, দামেস্ক
188,সাধারণ জ্ঞান,রাজধানী,   তাইওয়ান  রাজধানী কোথায়?, তাইপেই
189,সাধারণ জ্ঞান,রাজধানী,   তাজিকিস্তান   রাজধানী কোথায়?, দুশান্বে
190,সাধারণ জ্ঞান,রাজধানী,  তানজানিয়া   রাজধানী কোথায়?, দার এস সালাম
191,সাধারণ জ্ঞান,রাজধানী,   থাইল্যান্ড  রাজধানী কোথায়?, ব্যাংকক
192,সাধারণ জ্ঞান,রাজধানী,   টোগো রাজধানী কোথায়?, লম্বা 
193,সাধারণ জ্ঞান,রাজধানী,    টঙ্গা রাজধানী কোথায়?, নুকু আলোফা
194,সাধারণ জ্ঞান,রাজধানী,  ত্রিনিদাদ ও টোবাগো   রাজধানী কোথায়?, পোর্ট অফ স্পেন
195,সাধারণ জ্ঞান,রাজধানী,   তিউনিসিয়া   রাজধানী কোথায়?, তিউনিস
196,সাধারণ জ্ঞান,রাজধানী, তুরস্ক   রাজধানী কোথায়?, আঙ্কারা 
197,সাধারণ জ্ঞান,রাজধানী, তুর্কমেনিস্তান  রাজধানী কোথায়?, আশগাবাট  
198,সাধারণ জ্ঞান,রাজধানী,  টুভালু  রাজধানী কোথায়?, ফাইনাফুটি প্রদেশের ভাইকু গ্রাম
199,সাধারণ জ্ঞান,রাজধানী,  উগান্ডা  রাজধানী কোথায়?, কমপালা 
200,সাধারণ জ্ঞান,রাজধানী,    ইউক্রেন রাজধানী কোথায়?, কিয়েভ
201,সাধারণ জ্ঞান,রাজধানী,  সংযুক্ত আরব আমিরাত  রাজধানী কোথায়?,আবুধাবি 
202,সাধারণ জ্ঞান,রাজধানী, যুক্তরাজ্য   রাজধানী কোথায়?, লন্ডন
203,সাধারণ জ্ঞান,রাজধানী, আমেরিকা যুক্তরাষ্ট্র    রাজধানী কোথায়?, ওয়াশিংটন (ডিসি)
204,সাধারণ জ্ঞান,রাজধানী,   উরুগুয়ে  রাজধানী কোথায়?, মন্টেভিডিও
205,সাধারণ জ্ঞান,রাজধানী,   উজবেকিস্তান  রাজধানী কোথায়?, তাশখন্দ
206,সাধারণ জ্ঞান,রাজধানী,   ভানুয়াতু  রাজধানী কোথায়?, পোর্ট-ভিলা
207,সাধারণ জ্ঞান,রাজধানী,   ভ্যাটিকান সিটি   রাজধানী কোথায়?, ভ্যাটিকান সিটি
208,সাধারণ জ্ঞান,রাজধানী,   ভেনিজুয়েলা রাজধানী কোথায়?, কারাকাস 
209,সাধারণ জ্ঞান,রাজধানী,    ভিয়েতনাম রাজধানী কোথায়?, হ্যানয়
210,সাধারণ জ্ঞান,রাজধানী,    ইয়ামেন  রাজধানী কোথায়?, সানা
211,সাধারণ জ্ঞান,রাজধানী, জাম্বিয়া    রাজধানী কোথায়?, লুসাক
212,সাধারণ জ্ঞান,রাজধানী,   জিম্বাবুয়ে  রাজধানী কোথায়?, হারারে
